sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_138	0	25	42	0	0	0	0	0	164	0	0	51	283	1155	0	138	143	49	0	0	105	22
ASV_139	33	0	0	82	199	0	0	0	49	116	0	556	0	1079	0	40	0	0	0	0	0	0
ASV_140	0	9	41	0	133	0	0	196	9	226	0	207	0	0	0	0	0	0	14	411	27	32
ASV_141	35	11	5	0	41	4	38	48	12	36	0	111	8	31	0	3	0	5	87	116	0	102
ASV_142	0	0	0	127	0	42	0	0	273	211	22	0	245	160	55	316	30	0	0	0	90	495
ASV_143	0	0	0	0	0	0	0	0	113	0	0	0	179	1058	0	0	0	0	0	0	0	85
ASV_144	40	0	0	0	28	25	0	0	0	51	27	169	0	0	0	0	60	0	0	94	0	52
ASV_145	125	0	33	31	220	22	0	0	82	476	0	85	43	74	0	14	176	30	59	11	84	71
ASV_146	0	73	13	0	0	15	14	22	14	0	0	42	16	0	0	0	35	9	22	182	0	144
ASV_147	0	0	0	1136	0	58	0	2	0	0	0	0	205	1208	0	267	554	0	56	0	73	0
ASV_148	0	141	0	223	0	108	0	0	104	100	20	0	190	146	0	80	269	0	27	0	117	0
ASV_149	0	0	0	0	158	0	0	201	42	135	0	165	0	0	0	0	0	0	0	238	0	0
ASV_150	119	0	20	194	0	0	0	0	1681	0	33	0	286	0	0	71	1473	79	0	0	24	0
ASV_151	0	0	0	0	231	0	0	0	0	23	0	74	0	0	0	0	0	0	12	86	0	0
ASV_152	3	0	0	744	0	155	0	0	816	0	44	0	2225	0	0	310	0	84	0	11	105	0
ASV_153	0	0	0	723	0	168	0	0	932	21	30	0	535	134	0	238	278	50	0	0	627	0
ASV_154	0	90	0	0	49	37	0	21	30	20	0	66	0	23	93	0	86	28	0	0	51	60
ASV_155	0	0	10	28	0	0	0	68	0	173	0	87	0	140	0	0	54	0	0	0	53	1044
ASV_156	0	62	0	84	0	68	32	0	23	0	0	87	102	90	0	34	0	201	0	17	0	47
ASV_157	0	0	0	347	0	0	0	0	3142	0	153	0	461	0	0	172	0	153	0	0	132	0
ASV_158	0	0	0	30	106	0	73	0	0	49	0	197	0	44	57	0	0	0	229	291	0	0
ASV_159	0	30	0	0	0	5	256	0	7	12	0	34	0	0	0	0	48	0	18	21	0	40
ASV_160	108	152	12	0	51	26	500	155	0	19	22	45	12	53	302	0	49	0	25	394	0	63
ASV_161	0	17	0	1853	17	137	0	0	440	0	16	0	1103	0	0	108	0	62	66	0	159	0
ASV_162	286	0	11	31	452	0	21	0	0	57	0	24	0	30	0	0	148	0	0	22	0	935
ASV_163	0	0	0	1269	0	69	0	0	403	0	98	0	1175	0	0	949	0	100	0	0	145	0
ASV_164	0	0	0	734	15	210	93	0	491	0	254	0	749	0	0	256	0	42	0	0	372	0
ASV_165	72	201	0	0	214	0	0	0	0	196	0	23	0	0	0	0	0	0	0	0	0	0
ASV_166	31	0	0	0	597	36	0	69	15	89	0	751	0	15	0	0	86	0	614	0	0	347
ASV_167	0	107	9	12	157	13	138	40	4	5	0	203	14	93	0	0	97	0	5	0	0	0
ASV_168	152	493	0	21	291	0	0	70	0	231	0	22	0	142	0	0	0	0	40	444	0	0
ASV_169	0	0	0	0	0	0	0	0	170	0	0	0	77	74	66	0	1009	0	0	0	139	79
ASV_170	0	0	60	0	611	0	0	119	0	391	0	62	0	0	0	0	0	0	57	402	0	0
ASV_171	0	0	13	0	68	0	491	0	5	0	0	0	12	0	72	0	0	0	54	0	0	44
ASV_172	0	0	12	0	270	0	0	0	0	90	0	67	0	26	0	0	163	0	14	0	0	0
ASV_173	0	63	0	0	78	0	35	116	0	0	0	16	35	0	0	0	277	12	45	0	14	16
ASV_174	0	0	402	0	185	13	0	35	37	0	0	0	0	0	0	0	0	0	69	55	0	82
ASV_175	0	0	0	461	0	52	0	0	266	0	43	0	773	164	0	180	1276	50	0	0	236	0
ASV_176	0	0	0	192	0	0	0	0	38	0	12	0	105	223	0	0	305	0	0	0	72	0
ASV_177	0	0	0	125	46	66	0	0	111	56	0	27	68	27	0	0	36	0	0	16	25	0
ASV_178	0	0	0	1079	0	56	0	0	365	0	45	0	2047	0	0	142	0	56	0	0	74	0
ASV_179	0	0	0	0	1544	0	0	453	0	283	0	1080	0	0	0	0	0	0	65	276	0	0
ASV_180	13	0	0	14	308	0	0	0	0	177	0	213	10	131	0	0	24	0	445	0	0	77
ASV_181	13	0	0	0	742	0	0	87	72	98	0	0	0	287	0	19	146	4	19	0	0	315
ASV_182	0	0	0	105	0	0	0	0	2842	0	7	0	73	0	0	211	0	138	0	0	453	0
ASV_183	68	132	13	0	26	21	34	0	0	0	8	0	0	0	29	0	59	0	0	161	0	137
ASV_184	0	0	0	0	227	0	47	384	0	1124	0	43	0	116	0	0	0	0	34	150	0	0
ASV_185	48	0	56	349	0	94	0	120	77	215	8	66	409	95	0	51	46	25	0	0	81	58
ASV_186	39	0	53	0	31	0	0	0	24	42	0	441	0	447	0	0	87	0	0	98	0	112
ASV_187	96	214	140	0	227	20	409	132	8	73	5	37	0	68	0	8	26	0	194	339	0	416
ASV_188	0	0	0	807	0	186	0	0	578	0	57	0	1238	0	0	224	0	139	0	0	276	0
ASV_189	0	0	0	287	0	74	0	0	601	0	53	0	389	0	0	72	0	77	0	0	1651	0
ASV_190	0	0	0	603	0	273	0	0	390	0	196	0	995	0	0	325	26	90	0	0	173	0
ASV_191	0	0	0	1157	0	107	0	0	87	0	9	0	1355	49	0	84	477	68	0	0	70	0
ASV_192	0	10	0	1820	0	7	0	0	74	0	14	0	983	262	0	72	173	3	0	0	11	0
ASV_193	0	28	0	0	383	0	0	4	0	1176	0	180	0	0	0	0	0	0	45	379	0	0
ASV_194	0	145	0	0	49	0	0	116	0	793	0	47	0	21	67	0	0	0	0	132	0	0
ASV_195	112	0	0	733	0	273	0	0	280	26	200	18	537	102	0	83	152	35	0	0	141	0
ASV_196	85	0	11	0	85	0	0	87	0	375	0	132	0	4	0	0	0	0	0	14	0	1548
ASV_197	24	0	17	152	0	0	0	0	42	23	19	7	140	473	0	0	295	0	72	0	95	24
ASV_198	31	332	0	8	254	9	0	0	0	172	0	24	0	71	0	0	29	0	16	0	0	7
ASV_199	0	0	10	0	74	0	0	235	0	2249	0	109	0	23	0	0	0	0	0	147	0	0
ASV_200	0	65	0	0	0	0	0	157	7	0	0	0	0	206	85	0	0	4	67	0	0	0
ASV_201	0	0	51	240	0	57	0	0	36	0	28	42	353	61	0	120	336	15	0	0	47	0
ASV_202	0	0	0	444	0	74	0	0	85	0	3	3	1923	0	0	117	0	0	0	0	568	0
ASV_203	0	0	16	0	0	0	0	0	0	44	0	0	182	2282	0	0	0	0	0	0	0	0
ASV_204	0	0	0	463	0	105	0	0	297	0	31	0	2130	0	0	99	0	33	0	0	203	0
ASV_205	0	0	23	0	0	0	28	0	0	0	0	112	0	0	0	0	10	0	0	60	0	69
ASV_206	27	0	0	0	83	0	76	23	0	638	0	88	0	27	0	0	0	0	40	64	0	0
ASV_207	0	0	0	15	0	0	0	0	12	0	0	220	46	0	0	18	0	22	0	0	0	0
ASV_208	0	62	0	0	0	0	0	48	0	0	13	1565	0	143	0	0	138	0	0	0	0	129
ASV_209	0	140	13	0	648	0	0	0	0	100	0	328	0	54	0	0	0	0	265	29	0	0
ASV_210	12	0	0	521	25	44	0	0	45	19	0	0	242	84	0	86	78	44	40	0	72	68
ASV_211	0	0	0	221	0	95	0	0	265	0	27	0	476	112	0	104	51	45	0	0	458	0
ASV_212	0	0	0	2203	0	65	0	0	117	0	0	0	499	0	0	75	0	101	0	0	53	0
ASV_213	0	0	0	297	0	234	0	0	289	0	51	0	763	0	0	161	0	27	0	0	247	0
ASV_214	0	0	0	813	0	0	0	0	325	0	70	0	116	0	0	499	0	39	0	0	866	0
ASV_215	0	37	653	0	0	0	0	0	0	241	0	66	0	0	0	0	13	0	17	21	0	0
ASV_216	33	0	0	22	31	0	0	0	0	109	0	0	0	43	0	0	0	0	0	0	0	0
ASV_217	270	0	0	0	91	0	0	0	0	357	0	0	0	0	0	0	0	0	39	0	0	0
ASV_218	0	0	0	0	0	0	0	0	9	34	4	33	0	0	0	0	56	0	132	94	0	13
ASV_219	0	0	19	230	36	168	0	0	152	9	17	0	1311	0	0	101	30	35	29	0	547	0
ASV_220	0	0	6	583	0	166	0	0	132	0	9	0	569	324	0	110	487	150	0	0	64	0
ASV_221	0	0	9	54	0	48	57	0	97	316	16	34	47	301	0	19	295	25	13	0	40	0
ASV_222	0	0	0	321	54	105	0	15	59	30	0	0	158	121	0	65	132	44	0	18	48	9
ASV_223	18	0	15	0	49	0	0	2562	0	119	0	22	0	0	0	0	0	0	21	248	0	0
ASV_224	0	0	0	43	0	109	0	0	2166	0	0	0	79	0	0	305	0	57	0	0	78	0
ASV_225	68	85	0	0	135	0	0	0	0	919	0	90	0	0	0	0	0	0	0	51	0	130
ASV_226	0	0	0	0	0	0	0	35	0	0	0	0	3	0	0	0	69	0	0	0	0	2767
ASV_227	0	0	0	0	18	178	0	32	429	0	0	146	0	277	0	530	22	535	0	24	59	35
ASV_228	114	0	9	0	34	0	0	0	5	63	0	9	0	0	0	0	0	0	57	0	0	0
ASV_229	0	0	0	1026	0	249	0	0	293	0	72	0	399	0	0	368	0	29	0	0	380	0
ASV_230	0	0	0	216	0	101	0	0	830	0	0	0	238	151	0	347	197	0	0	0	383	0
